classref,descr_trad_lang,descr_trad_value,id
57,en,"Palazzo del Capitanio takes its name from its role under the Venetian Republic (1405–1796) as the seat of the Capitano veneto, before housing judicial offices from the late nineteenth century.
Previously it had been a Scaliger residence, gradually enlarged on the site of the dynasty’s earliest houses and enriched with painted decoration—some still in situ, others detached in the nineteenth century and now in the Museo di Castelvecchio. The tower facing Piazza dei Signori preserves its medieval character and was built in the late thirteenth century, possibly at the initiative of Alberto I della Scala. It was therefore a relatively recent construction at the time of Dante’s stay in Verona.",
75,en,"Giardino Giusti is an urban garden complex of notable interest and beauty in Verona, long visited and praised by distinguished figures from history and culture. Created in the late fifteenth century, it largely preserves the layout given by Agostino Giusti, a Knight of the Venetian Republic and gentleman to the Grand Duke of Tuscany. Conceived as a scenic backdrop to Palazzo Giusti, the garden is articulated in terraces that progressively open views of the city along a prearranged route.
Opposite the sixteenth-century atrium, the famed cypress avenue climbs to a stalactite grotto surmounted by a theatrical mascherone built to emit tongues of fire from its mouth. From the belvedere, visitors enjoy one of Verona’s most celebrated panoramas.",
100,en,"Porta Nuova is a monumental gateway to Verona’s historic center, built between 1532 and 1540 under the direction of Michele Sanmicheli as part of a major renewal of the city’s southern fortifications. Conceived at the juncture of ceremony and defense, it fuses the representational language of Renaissance civic architecture with the functional requirements of a military work.
The design draws on elevated classical models while adapting them to the practicalities of a modernized enceinte. Its massing and disciplined articulation underscore both urban dignity and strategic control of movement. The gate was highly esteemed by Giorgio Vasari, who praised it in the Lives as an achievement of exceptional scale and intelligence.",
101,en,"Porta San Zeno is a monumental city gate in Verona, commissioned in 1542 to the design of the Veronese architect Michele Sanmicheli. Sanmicheli prepared the project in 1541 after returning from travels in the eastern Mediterranean, and two inscriptions on the front and rear façades (both dated 1542) indicate an exceptionally rapid construction, completed in less than a year.
The site was newly determined, set between the earlier medieval portals: Porta Nova (also called Santo Zenone) to the north, where roads from Brescia and Chievo converged, and Porta San Massimo to the south, on the road of the same name. The gate thus established a new access point within the city’s wall system, reflecting updated traffic routes and urban organization in the mid-sixteenth century.",
102,en,"Porta Palio is a monumental city gate in Verona, erected between 1550 and 1561 to designs by Michele Sanmicheli, and often cited as the most ambitious Renaissance meditation on the triumphal city gateway—the clearest architectural expression of the policy to “munire et ornare” (fortify and adorn). The project was first urged in the 1530s by Francesco Maria I della Rovere, who sought to replace the vulnerable medieval Porta del Palio with a new cavalier gate aligned with the principal thoroughfare tracing the ancient Via Postumia, and defensible from Castel San Felice; Sanmicheli and his nephew Giangirolamo were named as designers. Although the old gate was closed around 1538 (opened only for the palio) and finally bricked up in 1546, works on the new structure began only in 1550 and the gate opened in 1561, still short of the original scheme, which envisaged a frontispiece doubling as an artillery platform. 
A 1571 report records that the building rose to only about half the intended height and carried a temporary roof; Sanmicheli had planned an additional level so the gate could operate fully as a cavalier commanding the surrounding ground. Despite its limited practical utility—open mainly in summer and never used as a true cavalier—the work is celebrated as a masterpiece of military architecture, praised by Sforza Pallavicino as without equal in Europe and by Giorgio Vasari as “new, strange, and beautiful.”",
45,en,"Scavi Scaligeri (Scaligeri Excavations) is an urban archaeological site beneath and around the Palazzo del Capitanio complex near Piazza dei Signori, opened up during restoration works in the late 1970s and leaving Roman and medieval remains visible in situ. The area spans the palace courtyard, Via Dante, and part of the Palazzo della Ragione, making it one of the largest urban archaeological zones in northern Italy.
In Roman times it was occupied by houses repeatedly remodeled until the fifth century; after abandonment and garden use into the tenth century, an eleventh-century cemetery of Santa Maria Antica was established here, and in the thirteenth Alberto I della Scala appropriated the land for the family palaces. Visitors enter from the Cortile del Tribunale and follow an evocative, non-chronological route past a floor mosaic with geometric and animal motifs, remains of a domus and public buildings, a limestone-paved street, and a brick-vaulted sewer dating to the mid-first century.
Medieval layers include two tombs from the Santa Maria Antica cemetery, a cellar from Alberto I’s palace, the foundations of a square house-tower, and wall segments from different phases; a Lombard double burial with grave goods was also found. Restored under the Veronese architect Libero Cecchini, the complex was adapted in 1996 as the Centro Internazionale di Fotografia Scavi Scaligeri, an exhibition venue hosting photography shows, workshops, and educational programs.",
1,en,"The IAT Verona – Tourist Information and Welcome Office is a public information point serving visitors and residents, promoting the city’s cultural, historical, artistic, and food-and-wine heritage. It provides practical guidance on transport, guided tours, and off-the-beaten-path activities, among other services. The office is centrally located in Piazza Bra, on the ground floor of Palazzo Barbieri (City Hall), beside the Arena and a short walk from Palazzo della Gran Guardia. 
Opening follows seasonal schedules: roughly 9:00–17:00 in November–February, 9:00–18:00 in March–June and September–October, and 9:00–19:00 in July–August, with Sundays and public holidays typically starting an hour later. It is closed on 25 December and 1 January. Hours may be extended during peak periods or holiday weekends.",
2,en,"Verona Porta Nuova is the city’s principal railway station, close to the center, and entered service in 1852 when the first train from Venice—hauled by the locomotive Verona—crossed the new railway bridge over the Adige. Initially secondary to Porta Vescovo for military-logistical reasons, it soon became a junction as lines to Mantua (1853), Brescia (1854), the Brenner (1859), Rovigo (1877), and Bologna (1924) converged here.
A larger passenger building was planned in the early twentieth century: work to architect Dini’s design began in 1910, with a provisional opening in 1913 and a formal inauguration on 22 March 1922, its interiors decorated with mosaics by the Venetian artisan Amedeo Mantellato. Severely damaged by Allied bombing during the Second World War, the station was rebuilt on the same alignment to the designs of Roberto Narducci between 1946 and 1949, reopening on 13 March 1949 with extensive cladding in Veronese marbles.
The complex retains a characteristic split-level arrangement created by the elevated tracks (public services at ground level, railway operations above), with Liberty-inspired metal canopies on the platforms and 1990s refurbishments adding new volumes and shopfronts toward the station square.",
3,en,"Stadio Marcantonio Bentegodi is Verona’s principal multi-purpose stadium and the home ground of Hellas Verona; with an overall capacity of about 39,000 (roughly 31,000 approved), it ranks among Italy’s larger venues. Designed by engineer Leopoldo Baruchello with the uncommon superposition of three stacked tiers, it was inaugurated on 15 December 1963 to replace the earlier namesake stadium near Piazza Cittadella.
The facility includes an eight-lane athletics track, comprehensively renewed in 2010 with a new blue-and-yellow surface also used for skating. Enlarged and roofed ahead of the 1990 FIFA World Cup, it hosted Group E matches and a Round-of-16 tie, and over the decades has staged youth fixtures, rugby, athletics meetings and occasional concerts. Historic crowds peaked in the 1980s—47,896 for Verona–Roma in 1983—and the ground witnessed Hellas Verona’s 1984–85 Scudetto as well as Chievo’s first promotion in 2000–01. In 2009 a photovoltaic array of roughly 1 MW (over 13,000 panels) was installed on the roof, making it Italy’s first “solar stadium” and helping to offset operating costs.",
4,en,"Verona Fair (Veronafiere) is the city’s main exhibition and congress complex in the Borgo Roma district. The venue comprises 13 halls with about 152,000 m² of indoor space and 157,000 m² outdoors (total 309,000 m²).bFairs in Verona are documented since the Middle Ages; the modern cycle began in 1897–98 with early horse and agricultural shows that evolved into Fieracavalli, while the Ente Autonomo per le Fiere di Verona was founded in 1930 and became Veronafiere S.p.A. in 2016.
Flagship events include Vinitaly (wine & spirits), Marmomac (stone industry), Fieragricola (agriculture), Fieracavalli (equine), and Samoter (construction machinery). Today the campus hosts international exhibitions and conferences year-round and serves as a key driver for the local and national economy.",
5,en,"Verona Villafranca Airport “Valerio Catullo” is an international airport about 12 km southwest of Verona, spanning the Villafranca (Dossobuono) and Sommacampagna (Caselle) districts. It forms part of the Veneto airport system with Venice Marco Polo and Treviso, and together with Brescia serves the wider Lake Garda area.
The airport is managed by Aeroporto Valerio Catullo di Verona Villafranca S.p.A., majority-owned by the SAVE Group, and serves a catchment of roughly four million residents across the provinces of Brescia, Mantua, Rovigo, Vicenza, Trento, Bolzano, and Verona—representing around 12% of Italy’s GDP. Formerly classified as a military airfield, full ownership passed in 2008 to the state entities ENAC and ENAV. Since 2021 the facility has been undergoing major expansion and modernization in view of the 2026 Winter Olympics. It is also the principal hub and headquarters of Air Dolomiti (Lufthansa Group).",
6,en,"Castel San Pietro Funicular links the riverfront near Ponte Pietra with the panoramic terrace on Colle San Pietro in a ride of just over a minute. From the terrace, visitors overlook the Adige, Ponte Pietra, and the historic center with its towers and layered architecture.
Operating year-round, the inclined lift can be used for both ascent and descent, with a downhill-only option for those who prefer to walk one way. It also serves as a convenient gateway to pedestrian routes through the green hills surrounding Verona. In the evening, the terrace is occasionally used as a venue for public and private events.",
7,en,"Cittadella Car Park is a multi-level parking facility in Verona’s historic center, near the Porta Nuova city gate, with about 750 spaces distributed across four levels (three underground plus a surface deck). Entry and exit are automated, and Telepass is supported to bypass paper ticketing; 24/7 remote assistance is available.
Its central position provides straightforward pedestrian access to Piazza Bra, the Arena, public offices, shops, hotels, and cinemas. The car park serves as a convenient base for visiting the old town, with the tourist information office located nearby for planning itineraries.",
8,en,"SABA Arena Car Park is a central public parking facility in Verona’s Cittadella quarter, a short walk from Piazza Bra and the Arena. Its location makes it a practical base for performances at the amphitheatre and for visiting nearby highlights such as Juliet’s House and the Castelvecchio Bridge.
The garage operates year-round with 24/7 customer assistance, providing convenient pedestrian access to the historic center and shopping streets. For up-to-date hours, prices, and tariffs, users should consult the operator’s listings; the entrance is at Via Marcantonio Bentegodi 8 (37122 Verona).",
9,en,"One of the two main hubs of the Integrated University Hospital system in Verona, the Borgo Trento campus concentrates major surgical and high-complexity services alongside teaching and research.
The complex, centered on the “P. Confortini” Surgical Pole at Piazzale A. Stefani, integrates inpatient wards, outpatient clinics, and support facilities within a unified hospital platform. As a university site, it hosts specialist units connected to Verona’s medical programs and provides pathways for advanced diagnostics and interventions.
The campus is served by city transport links to the historic center and other districts.",
10,en,"South of the center in Borgo Roma, the “G.B. Rossi” campus combines clinical care, teaching, and research within the city’s integrated university hospital network. It accommodates major specialty departments and comprehensive outpatient services, with facilities organized across a large medical campus.
The hospital supports emergency and elective pathways and interfaces with university programs for clinical training. Transport connections link the site to Verona Porta Nuova and other key nodes.",
11,en,"A long-standing central pharmacy a few steps from the Arena, located by the arcades leading toward the Teatro Filarmonico. It serves residents and visitors with prescription services and over-the-counter products in one of the busiest areas of the historic center.
Its position makes it a frequent reference in tourism and city guides for essential health needs. Opening hours may vary seasonally and by rota.",
12,en,"Situated on one of Verona’s principal historic streets, this pharmacy provides everyday dispensing and counsel within easy reach of Piazza delle Erbe and the shopping axis.
Its central location makes it convenient for both locals and visitors exploring the old town. Information on hours and services should be checked locally or via current listings",
13,en,"Part of the municipal network serving the west side of the city, this pharmacy offers prescription filling and common health products to a broad neighborhood catchment. It is frequently referenced in citywide directories and emergency-pharmacy listings. Visitors should verify opening times and any rota coverage.",
14,en,"A historic Veronese wine bar and restaurant renowned for its deep cellar and classic local dishes, housed in atmospheric premises near Via Mazzini.
The venue is celebrated for an award-winning wine list and longstanding enogastronomic tradition tied to the city. Its hospitality blends an osteria spirit with refined service, making it a reference point for lovers of Amarone and regional cuisine. Reservations are advisable during peak periods.",
15,en,"Believed to be Verona’s oldest tavern, Le Vecete pairs a bar counter for cicchetti and wines with a dining offer rooted in territory. The ambience preserves a traditional osteria feel while presenting a curated selection of bottles. Its central location makes it a classic stop for a glass and a bite before or after a stroll through the historic core.
Heritage notes attribute the name to two sisters who once ran the establishment.",
16,en,"A storied trattoria whose origins lie in an early-20th-century osteria opened by a retired fireman—hence the name. Over time it expanded its repertoire while retaining a strong link to Veronese tradition, with an interior dotted by memorabilia.
Today it balances a classic deli counter ethos with sit-down service and a wine list keyed to regional pairings. It remains one of the city’s best-known addresses for traditional fare.",
17,en,"An institution of Veronese cuisine close to Castelvecchio, tracing its roots to an early-19th-century gastronomia and salumeria.
The restaurant champions emblematic dishes such as stews with pearà sauce, served in a setting that highlights the building’s historic fabric and vaulted cellar. Service and presentation underscore a classic approach to local culinary heritage. The venue is frequently cited among must-try traditional tables in the city.",
18,en,"A traditional osteria in the very heart of Verona, a few steps from the Scaliger Tombs, Osteria al Duca focuses on home-style Veronese cooking. The menu features regional staples such as bigoli with donkey ragù, pastissada de caval, gnocchi with meat sauce, baccalà alla vicentina and other straightforward, time-tested dishes.
The setting preserves an unfussy, convivial tavern atmosphere that lets the classics take center stage. Practical details are intentionally simple—reservations are handled by phone, with service concentrated at lunch and dinner.",
19,en,"A longstanding Veronese pastry shop with multiple central addresses (Via Stella, Corso Porta Borsari, Via Roma) and a production laboratory, Flego pairs café service with a wide range of traditional and seasonal sweets.
The house is closely associated with the Nadalin, Verona’s historic Christmas cake often described as the forerunner of pandoro; Flego publicizes and safeguards this recipe as part of the city’s confectionery heritage. Alongside counter service, the bakery supplies catering and celebration cakes throughout the year.",
20,en,"An artisanal gelateria founded in 1939 in the historic center, Gelateria Savoia has been a local reference point for classic gelato ever since. Its story begins under the clock at Piazza Bra with founders Luigia Savoia and Vittorio Bonvicini, and today the shop continues to balance “historic” flavors with seasonal combinations.
The central location makes it a convenient stop before or after a stroll across Piazza Bra and the surrounding streets.",
21,en,"A family-run gelateria a short walk from the historic center, La Boutique del Gelato has been a local fixture since 1989. The shop on Via Carlo Ederle 13 serves classic and seasonal flavors, reflecting a long-running artisanal approach developed over decades.
Its “neighborhood” setting in Borgo Trento makes it a convenient stop beyond the busiest tourist streets, while remaining close to central sights. Hours and offerings may vary with the season.",
22,en,"Part of the La Romana artisanal chain, the Verona branch opened in 2013 on Piazza Santo Spirito 9. It pairs gelato made with a franchise-wide focus on ingredients with pastries and café service, offering both classic Italian flavors and rotating specials. Seating and takeaway cater to the evening passeggiata as well as daytime visits.
The brand communicates product and store details via dedicated shop pages.",
23,en,"An artisan gelato and café bar in the historic center, Vittoria 1938 combines counter espresso service with a selection of gelati, semifreddi, and seasonal fruit-based flavors. The venue’s central location—Via Armando Diaz 6/8—makes it a handy stop between Piazza delle Erbe and the shopping streets.
Opening times and menus are communicated via social and local listings.",
24,en,"Located near the riverside at Via Ponte Pietra 13, this gelateria positions itself as a quality stop beside one of Verona’s most scenic bridges. Visitors typically call out pistachio and ricotta among popular flavors, with a steady flow of foot traffic tied to the viewpoint. Current updates and practical details are shared via social channels.",
25,en,"Verona’s public university offers undergraduate, graduate, and doctoral programs across multiple areas, with international tracks and seasonal schools. The institution disseminates English-language information for prospective students and maintains an international programmes portal.
Campuses and services are distributed across the city.",
26,en,"Established in 1764 and historically linked to Giambettino Cignaroli, the state Academy of Fine Arts is among Italy’s oldest art schools. Its main seat is Palazzo Montanari (Via Carlo Montanari 5), where it delivers higher education in the arts within the national AFAM system.
Institutional pages outline its history, identity, and current teaching offer.",
27,en,"The Conservatory is an AFAM higher-education institute providing performance, composition, and music studies, with activities in training, production, and research. Teaching takes place across two sites, with the main seat at Palazzo Giuliari (Via Abramo Massalongo 2), next to the Basilica of Sant’Anastasia.
Institutional and ministerial pages present the Conservatory’s profile and data.",
28,en,"A private Salesian university institute with a Verona campus at Via Regaste San Zeno 17, IUSVE offers programmes notably in Communication, Psychology, and Education.
The Verona site comprises distinct wings and facilities detailed on the official “Sedi e spazi” pages, with travel directions and campus contacts published online.",
29,en,"A craft-forward cocktail bar in the historic center, Archivio pairs classic technique with a concise, seasonal list of mixed drinks and a small selection of beers. The room is intimate and bartender-led, with counter service that emphasizes balance and detail over showiness.
It caters to pre- and post-dinner visits thanks to continuous afternoon-to-late service. The address is Via Rosa 3c, within easy reach of Piazza delle Erbe and the Adige riverfront.",
30,en,"Dedicated to Italian and international craft beer, Santa Maria pours a rotating lineup on tap alongside a compact bottle list. The space is informal and oriented to tasting rather than dining, with staff notes highlighting seasonal and one-off releases. Its location—Via Santa Maria in Chiavica 6—puts it a short walk from Piazza delle Erbe.
Occasional events and tap takeovers are announced on the venue’s channels.",
31,en,"A tiny, characterful bar with deep roots in the historic center, La Mandorla is known for a natural-wine selection poured in an old-school osteria setting. The counter carries snacks and small plates that match the easygoing, neighborhood feel.
Expect a short wine list that changes frequently and a crowd of regulars mixed with curious visitors. The bar sits at Via Alberto Mario 23, just off the main pedestrian routes.",
32,en,"A brew-restaurant format that pairs house beers with a broad comfort-food menu, Doppio Malto operates two Verona addresses: Viale del Lavoro 50 (near Veronafiere) and Via Pellicciai 20 (in the center).
The venues pour multiple in-house labels—from lagers to hop-driven ales—alongside grilled dishes and pub staples. Spaces are sizeable and geared to groups, game nights, and casual dinners. Hours and programming vary by location.",
33,en,"A multi-screen cinema just off Piazza Bra, Rivoli serves the historic center with first-run and special-event programming. The theater maintains schedules and ticketing on its official site, and the city’s tourism portal lists contact details and address at Piazza Bra 10.
It’s a practical option before or after visits to the Arena and central streets.",
34,en,"Part of a local network of art-house and first-run screens, Cinema Fiume publishes programming, cycles, and special events on its official website. The venue positions itself as a cultural meeting point for film in the city, often coordinating with sister screens. Check the site for current listings and any seasonal initiatives.",
35,en,"Set on the Torricelle hillside above the historic center, A.M.E.N pairs a panoramic terrace and cocktail bar with late-night club programming, offering dining, drinks, and weekend events with sweeping views over Verona.
The venue operates on Viale dei Colli 27, near the Madonna di Lourdes area, and communicates nights, formats and booking via its official channels. Some local listings note that the site has also been branded as “A.M.E.N Panoramic Bar & Food” and, more recently in communications, as OAZI.
After a temporary closure, the club reopened in late August 2024, resuming nightlife activity on the hill.",
36,en,"A staple of Verona’s club scene for decades, Berfi’s runs large-room nights with commercial/house selections and occasional dinner+club formats. The space typically features a main floor and a VIP room, with production and screens geared to big Saturday crowds.
Location and contacts are published for Via Lussemburgo 1. Programming and table lists are announced through the club’s channels and partner listings.",
37,en,"A contemporary nightclub in Verona, LOVE is located at Via Nicolò Giolfino 12, with contacts and booking channels published on its official pages. The venue is arranged on two levels: a ground-floor main room—the club’s heartbeat—with a purpose-built stage and a modern lighting scheme.
A glass staircase with LED effects connects to the second level, an open-air terrace where the night’s music is piped outdoors “under the stars.” Programming and event details are shared via the club’s channels linked from the site.",
